id_dapil,nama_dapil,kategori,url_dapil
217,320004,JAWA BARAT 4,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/320004
218,320005,JAWA BARAT 5,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/320005
219,320006,JAWA BARAT 6,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/320006
220,320007,JAWA BARAT 7,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/320007
221,320008,JAWA BARAT 8,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/320008
222,320009,JAWA BARAT 9,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/320009
223,320010,JAWA BARAT 10,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/320010
224,320011,JAWA BARAT 11,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/320011
225,320012,JAWA BARAT 12,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/320012
226,320013,JAWA BARAT 13,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/320013
227,320014,JAWA BARAT 14,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/320014
228,320015,JAWA BARAT 15,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/320015
229,330001,JAWA TENGAH 1,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/330001
230,330002,JAWA TENGAH 2,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/330002
231,330003,JAWA TENGAH 3,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/330003
232,330004,JAWA TENGAH 4,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/330004
233,330005,JAWA TENGAH 5,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/330005
234,330006,JAWA TENGAH 6,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/330006
235,330007,JAWA TENGAH 7,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/330007
236,330008,JAWA TENGAH 8,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/330008
237,330009,JAWA TENGAH 9,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/330009
238,330010,JAWA TENGAH 10,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/330010
239,330011,JAWA TENGAH 11,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/330011
240,330012,JAWA TENGAH 12,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/330012
241,330013,JAWA TENGAH 13,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/330013
242,340001,DAERAH ISTIMEWA YOGYAKARTA 1,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/340001
243,340002,DAERAH ISTIMEWA YOGYAKARTA 2,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/340002
244,340003,DAERAH ISTIMEWA YOGYAKARTA 3,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/340003
245,340004,DAERAH ISTIMEWA YOGYAKARTA 4,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/340004
246,340005,DAERAH ISTIMEWA YOGYAKARTA 5,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/340005
247,340006,DAERAH ISTIMEWA YOGYAKARTA 6,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/340006
248,340007,DAERAH ISTIMEWA YOGYAKARTA 7,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/340007
249,350001,JAWA TIMUR 1,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/350001
250,350002,JAWA TIMUR 2,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/350002
251,350003,JAWA TIMUR 3,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/350003
252,350004,JAWA TIMUR 4,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/350004
253,350005,JAWA TIMUR 5,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/350005
254,350006,JAWA TIMUR 6,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/350006
255,350007,JAWA TIMUR 7,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/350007
256,350008,JAWA TIMUR 8,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/350008
257,350009,JAWA TIMUR 9,dprd-provinsi,https://caleg.zakiego.com/api/dprd-provinsi/dapil/350009
